category,cores,memory,disk,cpu_time,wall_time
ttZ_mAODv2,1,1634,98,1701.24,1752.894
ttZ_mAODv2,1,1630,99,1732.73,1762.339
ttZ_mAODv2,1,1630,98,1733.57,1782.557
ttW_mAODv2,1,1693,364,6702.42,6750.863
ttW_mAODv2,1,1732,226,4124.029,4161.052
ttZ_mAODv2,1,1737,398,7470.93,7531.885
ttZ_mAODv2,1,1712,401,7461.96,7527.351
ttZ_mAODv2,1,1663,397,7387.68,7441.911
ttZ_mAODv2,1,1732,405,7551.62,7602.933
ttZ_mAODv2,1,1703,399,7441.34,7496.14
ttZ_mAODv2,1,1657,405,7536.99,7597.542
ttZ_mAODv2,1,1705,409,7602.3,7664.512
ttW_mAODv2,1,1749,362,6863.52,6919.367
ttW_mAODv2,1,1718,365,6910.85,6968.614
ttW_mAODv2,1,1742,369,6798.54,6850.732
ttZ_mAODv2,1,1749,406,7758.55,7817.687
ttW_mAODv2,1,1696,373,6983.37,7031.06
ttW_mAODv2,1,1746,368,6796.47,6849.52
ttW_mAODv2,1,1721,367,6927.07,6987.066
ttW_mAODv2,1,1753,370,6791.4,6841.081
ttZ_mAODv2,1,1707,402,7490.31,7544.888
ttZ_mAODv2,1,1706,403,7499.75,7560.135
ttW_mAODv2,1,1735,374,6916.62,6969.604
ttW_mAODv2,1,1730,370,6827.61,6878.787
ttW_mAODv2,1,1720,369,6802.05,6856.011
ttZ_mAODv2,1,1707,397,7578.41,7636.478
ttW_mAODv2,1,1682,372,6997.33,7050.239
ttZ_mAODv2,1,1674,377,7905.1,7959.675
ttW_mAODv2,1,1710,363,6691.09,6747.251
ttZ_mAODv2,1,1725,403,7523.1,7584.534
ttZ_mAODv2,1,1785,403,7456.16,7511.702
ttZ_mAODv2,1,1710,395,7394.49,7448.658
ttW_mAODv2,1,1731,370,6953.98,7010.007
ttZ_mAODv2,1,1680,402,7737.99,7799.948
ttZ_mAODv2,1,1685,404,7547.47,7607.165
ttZ_mAODv2,1,1662,405,7585.86,7643.744
ttZ_mAODv2,1,1677,399,7593.12,7652.746
ttZ_mAODv2,1,1799,405,7742.92,7798.29
ttW_mAODv2,1,1724,366,6793.13,6843.827
ttZ_mAODv2,1,1718,396,7476.03,7533.739
ttZ_mAODv2,1,1747,399,7519.8,7574.989
ttZ_mAODv2,1,1686,391,7261.28,7317.082
ttW_mAODv2,1,1673,366,6660.93,6709.693
ttW_mAODv2,1,1702,422,7880.72,7937.685
ttZ_mAODv2,1,1725,391,7441.32,7496.608
ttW_mAODv2,1,1707,360,7257.02,7308.262
ttZ_mAODv2,1,1718,403,7482.45,7538.546
ttZ_mAODv2,1,1723,398,7455.18,7514.64
ttZ_mAODv2,1,1714,400,7446.23,7503.057
ttW_mAODv2,1,1771,365,6498.66,6552.476
ttZ_mAODv2,1,1724,399,7597.96,7655.187
ttZ_mAODv2,1,1785,402,7520.43,7579.726
ttZ_mAODv2,1,1717,405,7714.4,7767.318
ttW_mAODv2,1,1692,367,6804.37,6859.355
ttZ_mAODv2,1,1704,407,7620.97,7676.915
ttW_mAODv2,1,1676,369,7003.02,7052.1
ttW_mAODv2,1,1706,369,6914.99,6965.078
ttZ_mAODv2,1,1682,397,7366.49,7424.896
ttW_mAODv2,1,1676,367,6741.14,6792.719
ttZ_mAODv2,1,1662,395,7327.94,7384.753
ttZ_mAODv2,1,1668,400,7428.96,7491.163
ttW_mAODv2,1,1699,372,6830.2,6881.952
ttZ_mAODv2,1,1775,394,7265.3,7320.322
ttZ_mAODv2,1,1684,404,7529.11,7583.075
ttW_mAODv2,1,1713,369,6788.71,6838.302
ttW_mAODv2,1,1712,368,6752.15,6806.609
ttZ_mAODv2,1,1671,401,7450.12,7509.732
ttW_mAODv2,1,1781,369,6493.62,6566.856
ttZ_mAODv2,1,1689,403,7544.03,7597.611
ttZ_mAODv2,1,1679,398,7423.21,7480.549
ttW_mAODv2,1,1731,366,6705.53,6787.828
ttZ_mAODv2,1,1641,405,7542.2,7598.949
ttZ_mAODv2,1,1692,408,7601.44,7659.552
ttZ_mAODv2,1,1701,402,7616.96,7675.514
ttZ_mAODv2,1,1711,398,7410.55,7465.986
ttZ_mAODv2,1,1689,399,7456.85,7512.971
ttW_mAODv2,1,1715,369,7336.61,7385.77
ttZ_mAODv2,1,1668,399,7040.51,7135.855
ttW_mAODv2,1,1681,369,6913.17,6969.093
